address,pc
96,414
64,414
0,400
32,404
64,404
96,404
128,400
3544,420
1500,424
17684,424
96,410
96,410
160,404
192,404
224,400
256,404
288,404
27504,420
17000,420
3520,420
160,414
128,410
320,400
352,404
384,404
416,404
448,404
10528,424
23244,424
648,420
64,410
128,414
480,400
512,400
544,404
576,400
608,404
20736,420
26632,424
240,424
96,414
64,410
640,400
672,400
704,404
736,400
768,404
14164,424
13744,420
940,424
128,410
128,414
800,400
832,404
864,404
896,404
928,404
23048,424
27908,424
7428,420
160,414
128,410
960,400
992,404
1024,404
1056,404
1088,404
18560,420
5740,420
5872,420
160,410
160,410
1120,404
1152,400
1184,404
1216,404
1248,400
14604,424
24972,420
12816,424
64,414
160,414
1280,404
1312,400
1344,404
1376,400
1408,404
17536,424
20144,424
15828,420
160,410
64,410
1440,400
1472,404
1504,404
1536,404
1568,400
28180,420
25648,420
25776,420
160,410
160,410
1600,404
1632,404
1664,400
1696,404
1728,400
6524,420
7756,424
17052,420
128,410
64,410
1760,400
1792,404
1824,400
1856,400
1888,400
5160,424
1656,420
29732,424
96,410
96,414
1920,400
1952,400
1984,404
2016,404
2048,400
18020,420
9420,420
6776,420
160,410
64,410
2080,404
2112,404
2144,400
2176,400
2208,400
32388,424
13628,424
6596,424
64,414
64,414
2240,400
2272,400
2304,404
2336,404
2368,404
29548,420
11780,424
664,420
64,410
128,414
2400,404
2432,400
2464,400
2496,404
2528,400
12636,420
1508,420
14172,424
64,410
64,414
2560,400
2592,400
2624,400
2656,400
2688,404
17932,424
13056,420
22840,424
160,414
160,414
2720,400
2752,404
2784,400
2816,400
2848,404
25744,420
20420,420
13488,424
160,414
160,414
2880,404
2912,400
2944,404
2976,404
3008,400
23128,424
4208,424
10960,420
128,414
128,414
3040,404
3072,400
3104,400
3136,400
3168,404
28140,420
23444,420
4760,420
128,414
96,414
3200,400
3232,400
3264,404
3296,400
3328,404
14008,424
21072,420
4340,424
128,410
96,410
3360,404
3392,400
3424,404
3456,404
3488,404
20976,420
12916,420
32368,424
64,414
160,410
3520,400
3552,404
3584,400
3616,404
3648,404
15492,420
18680,420
304,424
128,410
160,410
3680,400
3712,404
3744,400
3776,400
3808,404
6232,424
19724,424
20784,424
160,410
128,414
3840,400
3872,404
3904,404
3936,404
3968,404
7956,424
6732,420
14680,420
64,410
64,414
4000,404
4032,400
4064,400
4096,400
4128,400
24172,420
3440,424
2820,420
64,414
64,414
4160,404
4192,404
4224,404
4256,400
4288,400
30192,420
8276,424
9696,424
160,410
96,414
4320,404
4352,404
4384,404
4416,404
4448,400
6016,424
19412,420
23132,420
96,410
64,414
4480,400
4512,400
4544,400
4576,400
4608,404
25232,420
31956,420
22308,420
128,414
160,410
4640,400
4672,400
4704,400
4736,404
4768,404
29648,420
26224,420
4496,424
160,410
128,410
4800,400
4832,404
4864,400
4896,400
4928,400
1084,424
12256,424
1872,424
160,414
128,410
4960,400
4992,404
5024,404
5056,400
5088,400
26012,424
21868,420
28920,424
128,410
64,414
5120,404
5152,400
5184,404
5216,400
5248,404
11576,424
32348,424
7152,420
96,410
96,410
5280,400
5312,400
5344,404
5376,400
5408,400
6620,424
14840,424
25684,424
64,410
128,414
5440,400
5472,400
5504,400
5536,404
5568,404
18872,420
6176,420
31244,424
96,410
128,410
5600,400
5632,400
5664,404
5696,404
5728,400
832,424
28044,424
1364,420
128,410
96,410
5760,404
5792,404
5824,400
5856,404
5888,400
30968,420
2960,420
19048,420
96,410
64,410
5920,404
5952,404
5984,404
6016,404
6048,404
16864,424
16612,424
30064,420
128,414
128,414
6080,400
6112,404
6144,400
6176,400
6208,404
14432,420
23408,424
2024,420
160,414
96,410
6240,400
6272,404
6304,400
6336,404
6368,404
11464,424
22860,424
25624,424
128,414
96,410
6400,404
6432,400
6464,404
6496,404
6528,404
18900,420
544,424
9640,424
96,414
96,414
6560,404
6592,404
6624,400
6656,404
6688,400
29744,420
14240,424
8088,420
160,414
64,414
6720,404
6752,400
6784,400
6816,404
6848,400
22948,424
10160,420
17736,420
96,414
64,414
6880,400
6912,400
6944,404
6976,404
7008,400
25312,424
26156,420
17120,424
128,410
160,414
7040,400
7072,400
7104,404
7136,400
7168,404
13072,424
19988,420
19484,424
96,414
160,410
7200,400
7232,404
7264,404
7296,404
7328,404
23212,424
30572,424
26884,424
64,410
160,410
7360,400
7392,404
7424,400
7456,404
7488,400
19224,420
25732,420
26404,420
160,414
64,410
7520,400
7552,404
7584,400
7616,404
7648,400
19040,424
21712,420
7956,420
96,410
160,410
7680,400
7712,400
7744,404
7776,404
7808,400
31780,420
7516,420
0,420
64,410
96,410
7840,400
7872,404
7904,400
7936,404
7968,404
3644,420
19652,424
31700,420
96,414
160,410
8000,404
8032,400
8064,400
8096,400
8128,400
15772,420
13128,424
31484,424
128,410
160,414
8160,404
8192,404
8224,404
8256,400
8288,404
27320,424
9708,420
18572,424
64,414
64,414
8320,400
8352,404
8384,400
8416,404
8448,400
30664,424
18144,420
10372,424
96,414
160,410
8480,400
8512,400
8544,404
8576,404
8608,404
9176,424
19852,424
4468,424
160,414
96,414
8640,400
8672,404
8704,404
8736,404
8768,400
2944,420
10428,420
6324,420
160,414
128,410
8800,400
8832,400
8864,400
8896,404
8928,404
4216,420
16412,420
2452,420
160,414
64,410
8960,404
8992,400
9024,404
9056,404
9088,400
13088,420
16544,424
28672,424
96,410
96,414
9120,400
9152,400
9184,400
9216,400
9248,400
2176,420
340,424
26740,420
128,410
160,410
9280,400
9312,404
9344,404
9376,404
9408,400
4400,424
28016,424
4644,420
96,414
64,410
9440,404
9472,400
9504,400
9536,404
9568,400
14680,424
16472,424
23452,420
96,414
64,410
9600,404
9632,404
9664,400
9696,400
9728,404
17236,420
2112,424
27616,424
96,414
64,410
9760,400
9792,404
9824,400
9856,400
9888,404
4776,420
22664,420
27276,420
160,410
128,410
9920,400
9952,400
9984,404
10016,400
10048,404
28276,424
19884,420
1404,420
64,410
160,410
10080,404
10112,400
10144,404
10176,404
10208,400
28160,424
9028,420
28700,420
128,414
96,414
10240,404
10272,400
10304,400
10336,400
10368,400
656,420
27068,420
976,420
64,410
64,410
10400,404
10432,400
10464,404
10496,400
10528,404
22912,420
19160,420
26068,424
64,410
64,414
10560,400
10592,404
10624,404
10656,400
10688,404
19836,424
19180,420
17532,424
64,410
128,414
10720,404
10752,404
10784,400
10816,400
10848,400
15108,424
13812,420
24404,420
64,410
160,414
10880,400
10912,400
10944,404
10976,400
11008,404
18216,424
19684,420
3912,424
160,414
64,414
11040,404
11072,404
11104,400
11136,400
11168,400
24856,420
28248,420
19996,420
128,410
128,414
11200,400
11232,400
11264,404
11296,404
11328,404
3740,420
25432,424
30376,424
128,410
160,414
11360,400
11392,400
11424,400
11456,404
11488,404
5604,420
19384,424
25860,420
128,414
128,414
11520,400
11552,400
11584,404
11616,404
11648,404
11716,424
30324,420
28828,420
160,410
128,414
11680,400
11712,404
11744,400
11776,400
11808,404
20580,420
28864,420
16908,424
128,414
96,410
11840,400
11872,400
11904,400
11936,400
11968,400
2520,420
28856,424
2748,420
64,414
128,410
12000,404
12032,400
12064,400
12096,404
12128,400
5076,424
7416,420
15528,420
128,414
160,410
12160,404
12192,404
12224,400
12256,400
12288,404
23608,424
26744,424
30844,424
64,410
128,410
12320,404
12352,400
12384,400
12416,400
12448,400
20516,424
14080,424
2136,420
160,410
64,410
12480,404
12512,400
12544,400
12576,404
12608,404
20768,424
12780,424
15992,424
96,414
96,414
12640,404
12672,400
12704,400
12736,404
12768,404
23716,420
23064,420
23740,424
96,414
160,410
12800,400
12832,400
12864,404
12896,400
12928,404
18800,424
20568,420
5340,424
160,410
160,410
12960,400
12992,404
13024,400
13056,400
13088,400
27432,424
30792,420
8280,420
160,410
96,410
13120,400
13152,404
13184,404
13216,404
13248,400
26364,420
19224,420
22072,424
64,410
64,414
13280,404
13312,404
13344,404
13376,404
13408,404
31264,420
12020,420
9976,420
128,414
160,414
13440,404
13472,400
13504,404
13536,400
13568,400
19484,424
22352,420
27960,424
128,414
128,410
13600,400
13632,400
13664,400
13696,404
13728,404
20600,420
22760,424
10852,420
128,414
160,414
13760,400
13792,400
13824,404
13856,404
13888,400
15180,424
9240,420
13552,420
64,410
96,410
13920,404
13952,400
13984,404
14016,400
14048,404
27948,424
8268,424
19328,420
64,414
160,414
14080,404
14112,400
14144,400
14176,404
14208,400
23180,420
14576,420
21436,420
128,414
160,410
14240,404
14272,400
14304,404
14336,400
14368,404
12476,420
520,420
8968,424
96,410
128,414
14400,400
14432,404
14464,400
14496,404
14528,404
8636,420
5812,420
208,424
64,414
96,410
14560,400
14592,404
14624,404
14656,404
14688,400
22852,424
11800,424
15196,424
160,414
160,414
14720,404
14752,404
14784,400
14816,400
14848,400
18824,424
29304,424
16212,424
64,410
160,414
14880,400
14912,404
14944,404
14976,400
15008,404
32056,424
15388,420
19064,424
96,414
64,414
15040,404
15072,404
15104,404
15136,404
15168,404
27864,424
17084,420
17584,424
96,414
64,414
15200,404
15232,404
15264,400
15296,400
15328,400
7228,424
8468,420
1380,424
64,414
128,410
15360,400
15392,400
15424,404
15456,400
15488,400
25920,420
19016,420
24500,424
160,410
96,410
15520,400
15552,400
15584,400
15616,404
15648,404
2768,420
18552,424
1588,420
96,410
128,410
15680,404
15712,404
15744,400
15776,404
15808,400
5012,420
27220,420
964,420
64,414
96,414
15840,404
15872,404
15904,400
15936,404
15968,404
30072,420
6532,424
30892,424
128,414
64,410
16000,404
16032,404
16064,404
16096,404
16128,400
25060,420
32572,424
24424,420
160,410
64,414
16160,400
16192,404
16224,404
16256,404
16288,400
20356,424
9420,420
6248,420
96,414
96,410
16320,400
16352,404
16384,404
16416,400
16448,400
32336,424
26988,424
22140,420
64,414
160,410
16480,404
16512,400
16544,404
16576,404
16608,404
15448,424
30236,424
5336,420
160,410
160,410
16640,400
16672,400
16704,400
16736,400
16768,400
28676,420
2556,424
32452,420
160,410
160,414
16800,400
16832,404
16864,400
16896,404
16928,404
17764,424
24352,420
9272,424
96,414
128,414
16960,404
16992,400
17024,404
17056,400
17088,400
31052,420
20820,424
11744,420
160,410
64,414
17120,400
17152,400
17184,400
17216,404
17248,404
6204,420
30716,420
4372,424
96,414
64,410
17280,404
17312,404
17344,404
17376,404
17408,404
26428,424
13276,420
9988,420
96,414
96,414
17440,400
17472,400
17504,404
17536,404
17568,404
31024,420
11016,420
15192,420
64,410
96,410
17600,404
17632,400
17664,404
17696,400
17728,400
8976,424
27876,424
21436,424
64,410
160,414
17760,404
17792,404
17824,404
17856,404
17888,404
5124,420
10884,424
9364,424
160,414
128,410
17920,404
17952,404
17984,400
18016,400
18048,404
30544,424
27792,420
12516,424
128,410
64,410
18080,404
18112,404
18144,400
18176,400
18208,404
21524,420
24172,424
848,424
64,414
160,414
18240,400
18272,404
18304,404
18336,400
18368,400
30852,424
32132,420
31024,420
64,414
64,410
18400,400
18432,400
18464,400
18496,404
18528,400
3672,424
4084,424
6388,424
96,410
128,414
18560,400
18592,404
18624,400
18656,404
18688,404
4028,420
12644,420
17472,420
96,414
64,414
18720,400
18752,404
18784,400
18816,400
18848,404
17940,424
7712,424
30556,420
160,410
64,410
18880,400
18912,400
18944,400
18976,404
19008,400
11096,420
14252,424
30168,420
96,414
96,410
19040,404
19072,400
19104,404
19136,404
19168,400
18280,420
20676,424
14808,420
128,410
96,414
19200,404
19232,404
19264,404
19296,400
19328,404
23272,424
22860,424
11172,420
160,410
96,414
19360,404
19392,404
19424,400
19456,404
19488,404
5944,420
16920,420
30648,424
64,410
96,414
19520,400
19552,404
19584,404
19616,404
19648,404
2216,424
6852,424
516,420
160,414
128,414
19680,400
19712,400
19744,404
19776,404
19808,400
30592,420
1424,424
29912,424
160,414
96,414
19840,404
19872,404
19904,404
19936,404
19968,404
2628,420
7068,424
27908,424
160,410
96,410
20000,404
20032,400
20064,400
20096,400
20128,404
3524,420
20268,420
22680,424
160,410
160,410
20160,400
20192,400
20224,400
20256,404
20288,404
5264,420
15476,420
28608,420
96,410
128,410
20320,404
20352,400
20384,404
20416,400
20448,404
25824,420
30952,424
30372,420
64,414
96,414
20480,400
20512,404
20544,404
20576,404
20608,404
25808,420
22732,424
1760,420
96,410
128,414
20640,404
20672,400
20704,404
20736,400
20768,400
9048,424
12316,420
13840,424
160,410
128,414
20800,400
20832,404
20864,400
20896,404
20928,404
25348,424
2280,424
27636,420
96,414
64,414
20960,400
20992,404
21024,400
21056,404
21088,400
10540,424
8436,424
29796,420
160,414
160,410
21120,404
21152,404
21184,404
21216,400
21248,404
24432,424
21956,424
7316,420
160,414
64,410
21280,400
21312,404
21344,404
21376,400
21408,404
28500,420
30456,424
2608,420
160,414
128,410
21440,404
21472,404
21504,404
21536,404
21568,404
1540,424
11712,424
23388,424
64,414
128,414
21600,400
21632,400
21664,404
21696,400
21728,404
16292,420
5508,420
8260,420
160,414
128,414
21760,404
21792,400
21824,404
21856,400
21888,400
21400,424
2508,420
6624,424
64,414
128,414
21920,404
21952,400
21984,400
22016,404
22048,400
28404,420
12556,424
19868,420
64,414
160,410
22080,404
22112,404
22144,400
22176,404
22208,400
26124,420
18672,424
328,424
96,410
160,410
22240,404
22272,404
22304,404
22336,404
22368,400
14504,420
1184,424
14484,420
128,414
160,414
22400,404
22432,404
22464,400
22496,404
22528,404
20948,424
29120,420
30272,424
96,410
160,414
22560,404
22592,400
22624,400
22656,404
22688,404
5444,420
24192,424
19124,424
160,414
64,410
22720,400
22752,404
22784,404
22816,404
22848,400
18604,424
15380,424
8628,424
64,410
160,410
22880,400
22912,400
22944,404
22976,400
23008,400
26284,424
23068,420
27404,424
128,414
64,414
23040,404
23072,400
23104,404
23136,404
23168,404
18760,424
10284,420
26216,424
64,414
160,410
23200,400
23232,404
23264,404
23296,404
23328,404
12376,420
14692,420
5276,424
64,414
96,410
23360,404
23392,400
23424,404
23456,400
23488,404
12648,420
30000,424
15680,420
160,410
128,410
23520,404
23552,400
23584,400
23616,400
23648,404
30092,420
29072,420
11588,424
64,414
96,410
23680,404
23712,400
23744,400
23776,400
23808,404
30812,424
4608,424
17040,420
64,414
160,410
23840,404
23872,404
23904,400
23936,404
23968,404
28836,424
8128,420
9564,424
64,410
128,414
24000,404
24032,400
24064,400
24096,404
24128,400
17332,420
21628,420
30028,424
96,414
128,414
24160,404
24192,404
24224,404
24256,404
24288,404
2340,420
9700,424
1700,420
128,414
128,414
24320,400
24352,404
24384,404
24416,404
24448,404
10120,420
9600,424
25180,424
96,410
96,414
24480,400
24512,400
24544,404
24576,404
24608,404
31256,420
22556,420
20596,424
160,414
96,414
24640,400
24672,404
24704,404
24736,400
24768,400
22436,420
20268,420
14700,420
128,410
96,414
24800,404
24832,404
24864,400
24896,400
24928,400
23824,420
26112,420
21592,420
128,410
64,414
24960,400
24992,400
25024,404
25056,400
25088,400
14964,424
11628,420
17416,424
64,410
64,410
25120,404
25152,400
25184,400
25216,400
25248,400
31276,424
6440,420
20896,420
96,414
64,414
25280,400
25312,404
25344,400
25376,400
25408,400
31928,424
628,424
7308,424
96,414
64,414
25440,404
25472,404
25504,404
25536,400
25568,404
31672,424
19636,424
16316,424
128,414
160,410
25600,400
25632,404
25664,400
25696,404
25728,404
32488,420
11716,420
28312,424
64,414
128,410
25760,400
25792,400
25824,400
25856,400
25888,404
20012,424
30924,420
19664,420
96,414
96,410
25920,404
25952,400
25984,400
26016,400
26048,404
31048,424
17652,420
17224,424
128,414
96,414
26080,404
26112,404
26144,404
26176,404
26208,404
27872,424
27336,420
26480,420
160,414
96,414
26240,404
26272,400
26304,400
26336,400
26368,404
19316,424
1548,424
28016,424
128,410
96,414
26400,404
26432,400
26464,400
26496,400
26528,400
21328,424
30792,420
25560,424
96,414
160,410
26560,400
26592,400
26624,404
26656,404
26688,404
28712,424
7276,424
8800,420
128,414
96,410
26720,404
26752,400
26784,400
26816,404
26848,400
21484,424
19096,420
9204,420
128,414
160,410
26880,400
26912,404
26944,404
26976,400
27008,404
23736,424
13040,424
16732,420
96,410
160,414
27040,404
27072,404
27104,400
27136,400
27168,404
1060,424
2100,424
32244,424
128,410
64,410
27200,400
27232,400
27264,400
27296,404
